slice,score,n,spearman,kendall
≤2: ALL,esm1v_zero_shot_add,13861,0.004843340747372147,0.003198412204863388
≤2: ALL,esm1v_zero_shot_wt,13861,0.004843178495197204,0.0031982872786797973
≤2: ALL,esm1v_zero_shot_mc,13861,0.006884301152211619,0.004564282341427393
≤2: ALL,friend_zeroshot,13861,0.006884445136732567,0.004564469540633729
≤2: ALL,pll_delta,13861,0.044239551421107276,0.030205535397706658
≤2: singles,esm1v_zero_shot_add,1084,0.045206887622956674,0.03067194106844116
≤2: singles,esm1v_zero_shot_wt,1084,0.045206887622956674,0.03067194106844116
≤2: singles,esm1v_zero_shot_mc,1084,0.045206887622956674,0.03067194106844116
≤2: singles,friend_zeroshot,1084,0.045206887622956674,0.03067194106844116
≤2: singles,pll_delta,1084,0.10474933739832017,0.07171082613322932
